ko,from,name,description,disease_category,drug_recommended
H01637,D01915,Hypertriglyceridemia,"Hypertriglyceridemia (HTG) is a condition with fasting triglyceride (TG) levels in blood continuing to rise. HTG generally refers to an increase of plasma triglyceride (TG) concentrations above the 95th percentile for age and gender of a reference population. HTG has generally been classified as primary when a definite familial or inherited basis is suspected, whereas secondary HTG refers to cases where there coexist one or more identifiable secondary conditions such as metabolic syndrome, type 2 diabetes (T2D), alcohol consumption, various medications, renal insufficiency, pregnancy, etc. Genetic conditions with HTG include familial HTG (FHTG), familial combined hyperlipidemia (FCHL) [DS:H00153], and familial dysbetalipoproteinemia (Type III hyperlipidemia) [DS:H00156]. Three drug classes are clinically available for treatment of HTG, fibrates, niacin and n-3 fatty acids. Each of these classes has limitations. There is inconsistency in the evidence base for cardiovascular risk reduction using fibrates, the use of niacin is associated with significant side effects, and there are limited data on the use of n-3 fatty acids to reduce cardiovascular risk.",Metabolic disease,Rosuvastatin calcium
H00342,D00346,Tuberculosis,"Tuberculosis is an infectious disease caused by strains of mycobacteria, mainly Mycobacterium tuberculosis, resulting in an estimated two million deaths each year worldwide, more than from any other single bacterial pathogen. Inhalation is the predominant pathway of infection, making pulmonary tuberculosis the most common form of tuberculosis. Tuberculosis may arise either from a recent infection with M. tuberculosis, or from the reactivation of dormant bacilli, years or decades after initial infection. Extrapulmonary tuberculosis mainly results from reactivation of a tuberculous focus after hematogenous dissemination or lymphogenous spread from a primary, usually pulmonary focus.",Infectious disease,Isoniazid
H00368,D04301,Cytomegalovirus infection,Cytomegalovirus (CMV) is a double-stranded DNA virus of the Herpesviridae family acquired by late childhood in the majority of individuals. Primary infection is nonspecific but after that the virus becomes latent in multiple organs and can later be reactivated. CMV is an important and common cause of mortality and morbidity in immunocompromised patients such as those with HIV/AIDS or transplant recipients on immunosuppressive therapy.,Infectious disease,Ganciclovir sodium
H00057,D00253,Parkinson disease,"Parkinson disease (PD) is a progressive neurodegenerative movement disorder that results primarily from the death of dopaminergic (DA) neurons in the substantia nigra pars compacta (SNc). Both environmental factors and mutations in familial PD-linked genes such as SNCA, Parkin, DJ-1, PINK1 and LRRK2 are associated with PD pathogenesis. These pathogenic mutations and environmental factors are known to cause disease due to oxidative stress, intracellular Ca2+ homeostasis impairment, mitochondrial dysfunctions and altered protein handling compromising key roles of DA neuronal function and survival. The demise of DA neurons located in the SNc leads to a drop in the dopaminergic input to the striatum, which is hypothesized to impede movement by inducing hypo and hyper activity in striatal spiny projection neurons (SPNs) of the direct (dSPNs) and indirect (iSPNs) pathways in the basal ganglia, respectively.",Neurodegenerative disease,Carbidopa hydrate and levodopa
H01459,D03065,Diabetic neuropathy,"Diabetic neuropathies (DNs) are nerve damaging disorders caused by diabetes. Diabetic neuropathy broadly comprise generalized symmetric polyneuropathies (acute sensory, chronic sensorimotor, autonomic) and asymmetric (focal and multifocal) neuropathies (cranial, truncal, focal-limb, proximal-motor, coexisting chronic inflammatory demyelinating), which affect all organs and system. Of all types, diabetic sensorimotor polyneuropathy (DSPN), also called distal symmetric neuropathy, is the most typical form. Typical Symptoms vary from person to person, but may include numbness, tingling, pain, or weakness that typically starts in the feet and progresses up the legs. This pattern of neuropathy shows a progressive distal axonopathy. It has been reported that vascular endothelial growth factor A is associated with DNs development and progression.",Endocrine and metabolic disease; Nervous system disease,Becaplermin
H00014,D10450,Non-small cell lung cancer,"Lung cancer is a leading cause of cancer death among men and women in industrialized countries. Non-small-cell lung cancer (NSCLC) accounts for approximately 85% of lung cancer and represents a heterogeneous group of cancers, consisting mainly of squamous cell (SCC), adeno (AC) and large-cell carcinoma. Molecular mechanisms altered in NSCLC include activation of oncogenes, such as K-RAS, EGFR and EML4-ALK, and inactivation of tumorsuppressor genes, such as p53, p16INK4a, RAR-beta, and RASSF1. Point mutations within the K-RAS gene inactivate GTPase activity and the p21-RAS protein continuously transmits growth signals to the nucleus. Mutations or overexpression of EGFR leads to a proliferative advantage. EML4-ALK fusion leads to constitutive ALK activation, which causes cell proliferation, invasion, and inhibition of apoptosis. Inactivating mutation of p53 can lead to more rapid proliferation and reduced apoptosis. The protein encoded by the p16INK4a inhibits formation of CDK-cyclin-D complexes by competitive binding of CDK4 and CDK6. Loss of p16INK4a expression is a common feature of NSCLC. RAR-beta is a nuclear receptor that bears vitamin-A-dependent transcriptional activity. RASSF1A is able to form heterodimers with Nore-1, an RAS effector. Therefore loss of RASSF1A might shift the balance of RAS activity towards a growth-promoting effect.",Cancer,Alectinib hydrochloride
H01609,D11022,Insomnia,"Insomnia is a common disorder with a prevalence of about 10% in the general population. The most common complaints related to insomnia are difficulty initiating sleep (sleep-onset insomnia), difficulty maintaining sleep due to prolonged nocturnal awakenings (sleep-maintenance insomnia), early morning awakenings, and excessive daytime sleepiness resulting from lack of sleep. Furthermore, insomnia is associated with an increased risk of anxiety and depression, suicidality, and cardiovascular diseases. Currently, cognitive behavioral therapy for insomnia (CBT-I) is recommended as first-line therapy. While behavioral therapies are effective for chronic insomnia in some patients, pharmacotherapy is frequently used when immediate short-term symptom relief is needed. The most effective pharmacologic therapies for insomnia are benzodiazepines, benzodiazepine-receptor agonists, melatonin-receptor agonists, and antidepressants.",Nervous system disease,Lemborexant
H01714,D05429,Chronic obstructive pulmonary disease (COPD),"Chronic obstructive pulmonary disease (COPD) is a representative chronic inflammatory disorder of the lungs that includes chronic bronchitis and emphysema. COPD is characterized by airway inflammation and progressive airflow obstruction, most commonly caused by cigarette smoking. The major symptoms of which patients complain are cough, breathlessness, and sputum production. COPD is associated with underlying inflammation in response to chronic exposure to noxious particulates and gases and with a number of comorbid conditions. The onset of COPD generally occurs in the 6th to 8th decades of life. Early onset COPD is defined as disease onset before the age of 50 years, irrespective of smoking history. The presence of persons with early onset, severely reduced pulmonary function suggests that individuals may vary in their genetic susceptibility to the effects of smoking. Alpha-1-antitrypsin deficiency is the only proven genetic risk factor for COPD. Bronchodilators are the mainstay of treatment since they improve lung function and reduce acute exacerbations. Long-acting inhaled bronchodilators are recommended as first line treatment for patients with persistent symptoms.",Lung disease,Aminophylline hydrate
H01633,D00618,High blood pressure,"High blood pressure (hypertension) is the most frequent classic cardiovascular risk factor and accounts for a large proportion of cardiovascular mortality, the main cause of death worldwide. Hypertension is generally classified as primary (essential) or secondary. Essential hypertension (EH) is the most common diagnosis in this disease, suggesting that a monocausal etiology has not been identified. However, a number of risk factors associated with EH have also been identified such as age, sex, demographic, environmental, genetic, and vascular factors. Secondary hypertension generally has an earlier age at onset, no family history, and a clear cause such as a renal or endocrine disorder, or an iatrogenic trigger, such as use of oral contraceptives. Blood pressure is a heritable trait; an estimated 30% of variance in blood pressure relates to genetic factors. Understanding of the genetic architecture of traits has progressed in rare mendelian hypertensive phenotypes, such as Gordon's syndrome.",Cardiovascular disease,Nisoldipine
H00031,D02115,Breast cancer,"Breast cancer is the leading cause of cancer death among women worldwide. The vast majority of breast cancers are carcinomas that originate from cells lining the milk-forming ducts of the mammary gland. The molecular subtypes of breast cancer, which are based on the presence or absence of hormone receptors (estrogen and progesterone subtypes) and human epidermal growth factor receptor-2 (HER2), include: hormone receptor positive and HER2 negative (luminal A subtype), hormone receptor positive and HER2 positive (luminal B subtype), hormone receptor negative and HER2 positive (HER2 positive), and hormone receptor negative and HER2 negative (basal-like or triple-negative breast cancers (TNBCs)). Hormone receptor positive breast cancers are largely driven by the estrogen/ER pathway. In HER2 positive breast tumours, HER2 activates the PI3K/AKT and the RAS/RAF/MAPK pathways, and stimulate cell growth, survival and differentiation. In patients suffering from TNBC, the deregulation of various signalling pathways (Notch and Wnt/beta-catenin), EGFR protein have been confirmed. In the case of breast cancer only 8% of all cancers are hereditary, a phenomenon linked to genetic changes in BRCA1 or BRCA2. Somatic mutations in only three genes (TP53, PIK3CA and GATA3) occurred at >10% incidence across all breast cancers.",Cancer,Methotrexate sodium
H00237,D00979,Diamond-Blackfan anemia,"Diamond-Blackfan anemia (DBA) is a genetically and clinically heterogeneous congenital erythroid aplasia that develops within the first year of life. Faulty ribosome biogenesis is hypothesized to be the underlying defect, leading to erythroid failure due to accelerated apoptosis in affected erythroid progenitors/precursors.",Ribosomopathy,Methylprednisolone acetate
H00149,D10813,Neuronal ceroid lipofuscinosis,"Neuronal ceroid lipofuscinosis (NCL) is a group of severe neurodegenerative lysosomal storage diseases characterized by intracellular accumulation of ceroid lipofuscin in neurons. NCLs share similar symptoms and signs such as retinopathy, epilepsy, and dementia. Historically, the NCLs were classified by age of disease onset as congenital NCL, infantile NCL (INCL), late infantile NCL (LINCL), juvenile NCL (JNCL) or adult NCL (ANCL). The presently used nomenclature is based on the genetic findings and divides the NCLs into thirteen forms, CLN1-CLN13.",Congenital disorder of metabolism,Cerliponase alfa
H01639,D00951,Endometriosis,"Endometriosis is defined as the growth of the endometrial glands and stroma at extra-uterine sites, which are most commonly implanted over and under visceral and peritoneal surfaces within the female pelvis but which can also be found in the connective tissue in the pelvis areas and, more rarely, in any anatomic district. It is a major cause of infertility, dysmenorrhea, dyspareunia, and chronic pelvic pain, mediated by marked pelvic inflammation. While retrograde menstruation is the most widely accepted cause, its pathogenesis and natural course are not fully understood. Endometriosis is known to be a estrogen-dependent disease, manifests during reproductive years.",Reproductive system disease,Medroxyprogesterone acetate
H01645,D00401,Hyperthyroidism,"Hyperthyroidism is a pathological disorder characterised by increased thyroid hormone synthesis and secretion from the thyroid gland. The term thyrotoxicosis is not synonymous with hyperthyroidism. Thyrotoxicosis is defined as the clinical syndrome of hypermetabolism resulting from increased thyroid hormone levels, irrespective of the source. The causes of hyperthyroidism include Graves' disease, toxic multinodular goiter, and solitary toxic adenoma. Less common causes of hyperthyroidism include thyrotropin-induced thyrotoxicosis and trophoblastic tumours. The causes of thyrotoxicosis without hyperthyroidism are less common and generally transient. In patients with silent thyroiditis, post-partum thyroiditis, or subacute painful thyroiditis, the destruction of thyrocytes leads to release of preformed hormones into the circulation. Drug-induced thyrotoxicosis has the same pathogenic mechanism as thyroiditis. Exogenous thyrotoxicosis develops after ingestion of excessive amounts of thyroid hormone, and is associated with low serum thyroglobulin concentrations. Patients of hyperthyroidism/thyrotoxicosis usually have fatigue, nervousness or anxiety, weight loss, palpitations, and heat sensitivity. Clinical findings almost always include tachycardia, warm moist skin, the presence of an enlarged thyroid, and a slight tremor. The three options for treating patients with hyperthyroidism are antithyroid drugs (ATDs), radioactive iodine ablation, and surgery. All three therapeutic options would be effective in the treatment of patients with Graves' disease, whereas patients with toxic adenoma or toxic multinodular goiter should have either radioactive iodine therapy or surgery, since these patients rarely go into remission. In patients with toxic nodular goiter, ATDs are generally used to restore euthyroidism before definitive treatment with surgery or radioactive iodine, and infrequently used as long-term treatment when the other two therapies are contraindicated or the patient has a short life expectancy.",Endocrine disease,Methimazole
H00014,D09731,Non-small cell lung cancer,"Lung cancer is a leading cause of cancer death among men and women in industrialized countries. Non-small-cell lung cancer (NSCLC) accounts for approximately 85% of lung cancer and represents a heterogeneous group of cancers, consisting mainly of squamous cell (SCC), adeno (AC) and large-cell carcinoma. Molecular mechanisms altered in NSCLC include activation of oncogenes, such as K-RAS, EGFR and EML4-ALK, and inactivation of tumorsuppressor genes, such as p53, p16INK4a, RAR-beta, and RASSF1. Point mutations within the K-RAS gene inactivate GTPase activity and the p21-RAS protein continuously transmits growth signals to the nucleus. Mutations or overexpression of EGFR leads to a proliferative advantage. EML4-ALK fusion leads to constitutive ALK activation, which causes cell proliferation, invasion, and inhibition of apoptosis. Inactivating mutation of p53 can lead to more rapid proliferation and reduced apoptosis. The protein encoded by the p16INK4a inhibits formation of CDK-cyclin-D complexes by competitive binding of CDK4 and CDK6. Loss of p16INK4a expression is a common feature of NSCLC. RAR-beta is a nuclear receptor that bears vitamin-A-dependent transcriptional activity. RASSF1A is able to form heterodimers with Nore-1, an RAS effector. Therefore loss of RASSF1A might shift the balance of RAS activity towards a growth-promoting effect.",Cancer,Crizotinib
H00024,D11040,Prostate cancer,"Prostate cancer constitutes a major health problem in Western countries. It is the most frequently diagnosed cancer among men and the second leading cause of male cancer deaths. The identification of key molecular alterations in prostate-cancer cells implicates carcinogen defenses (GSTP1), growth-factor-signaling pathways (NKX3.1, PTEN, and p27), and androgens (AR) as critical determinants of the phenotype of prostate-cancer cells. Glutathione S-transferases (GSTP1) are detoxifying enzymes. Cells of prostatic intraepithelial neoplasia, devoid of GSTP1, undergo genomic damage mediated by carcinogens. NKX3.1, PTEN, and p27 regulate the growth and survival of prostate cells in the normal prostate. Inadequate levels of PTEN and NKX3.1 lead to a reduction in p27 levels and to increased proliferation and decreased apoptosis. Androgen receptor (AR) is a transcription factor that is normally activated by its androgen ligand. During androgen withdrawal therapy, the AR signal transduction pathway also could be activated by amplification of the AR gene, by AR gene mutations, or by altered activity of AR coactivators. Through these mechanisms, tumor cells lead to the emergence of androgen-independent prostate cancer.",Cancer,Apalutamide
H00630,D00978,Rheumatoid arthritis,"Rheumatoid arthritis (RA) is a common autoimmune disease that primarily manifests as chronic inflammatory arthropathy. Persistent synovitis leads to cartilage destruction, bone erosions and periarticular decalcification, subsequently resulting in impaired joint function. It is more common between the ages of 35 and 50 years, affecting three times more women than men. Susceptibility to RA is genetically determined with multiple genes contributing. Inheritance of HLA DRB1 alleles encoding a distinctive five-amino-acid sequence known as the 'shared epitope' (SE) is the best characterized genetic risk factor. The mechanism by which the SE alleles contribute to the development of RA is not very clear. It has been postulated that the presence of these conserved sequences in the antigen-binding groove alters the way antigenic peptides are bound to and presented to T-cell lymphocytes. This, in turn, may trigger abnormal immune responses and lead to RA.",Autoimmune disease,Hydrocortisone sodium succinate
H00007,D00363,Hodgkin lymphoma,"Hodgkin's lymphoma (HL) is one of the most frequent lymphomas in the Western world and often affects young adults. HL is subdivided into classical and nodular lymphocyte-predominant forms. About 95% of cases are classical HL, and 5% are nodular lymphocyte-predominant HL (NLPHL). A characteristic feature of HL is the rareness of the tumor cells, which are called Hodgkin's and Reed/Sternberg (HRS) cells in classical HL and lymphocytic and histiocytic (L&H) cells in NLPHL. These cells represent only about 1% of the cellular infiltrate, while the vast majority of infiltrating cells are T lymphocytes, histiocytes, eosinophilic granulocytes and plasma cells. HRS cells show constitutive activity of both the classical and alternative NF-{kappa}B signalling pathways, which is probably a major pathogenetic mechanism in Hodgkin's lymphoma. The NF-{kappa}B activity in HRS cells is probably mediated by diverse mechanisms: receptor signalling through CD40, RANK, BCMA, and TACI, genomic REL amplification, destructive mutations in IKBA and IKBE. In HL pathogenesis associated with Epstein-Barr virus infection, the activation of NF-{kappa}B is induced by viral latent membrane protein 1 (LMP1).",Cancer,Lomustine
H01132,D03978,Aplastic anemia,"Aplastic anemia (AA) is a rare disease in which the reduction of the circulating blood cells results from damage to the stem cell pool in bone marrow. Most cases of acquired aplastic anemia are the consequence of an immune-mediated destruction of hematopoiesis. Autoreactive cytotoxic T cells play a key role in the pathogenesis of AA by myelosuppressive cytokines including interferon-gamma. It has been reported that polymorphisms in IFNG are related to AA. A minority of patients with AA has heterozygous mutations in genes encoding the telomerase components TERT or TERC. Immunosuppressive therapy (IST) is one of the main treatment modalities for AA, although most patients with telomerase mutations do not respond adequately to IST.",Hematologic disease,Eltrombopag olamine
H00360,D00409,Amoebiasis,"Amoebiasis is a parasitic disease of gastrointestinal tract caused by Entamoeba histolytica (E. histolytica), an extracellular parasitic protozoan. People living in Central and South America and Africa are at highest risk of infection. Although the majority of individuals infected with E. histolytica remain asymptomatic, some present with amoebic colitis and disseminated disease. Ingestion of contaminated water and food causes this disease.",Infectious disease,Metronidazole
H00048,D10095,Hepatocellular carcinoma,"Hepatocellular carcinoma (HCC) is a major type of primary liver cancer and one of the rare human neoplasms etiologically linked to viral factors. It has been shown that, after HBV/HCV infection and alcohol or aflatoxin B1 exposure, genetic and epigenetic changes occur. The recurrent mutated genes were found to be highly enriched in multiple key driver signaling processes, including telomere maintenance, TP53, cell cycle regulation, the Wnt/beta-catenin pathway (CTNNB1 and AXIN1), the phosphatidylinositol-3 kinase (PI3K)/AKT/mammalian target of rapamycin (mTOR) pathway. Recent studies using whole-exome sequencing have revealed recurrent mutations in new driver genes involved in the chromatin remodelling (ARID1A and ARID2) and the oxidative stress (NFE2L2) pathways.",Cancer,Cabozantinib s-malate
H01563,D06677,HIV infection,"The human immunodeficiency virus (HIV) is a lentivirus (a subgroup of retrovirus) that causes HIV infection and over time acquired immunodeficiency syndrome (AIDS). Two types of HIV has been characterized. HIV-1 is the most virulent and pathogenic strain. Worldwide, the predominant virus is HIV-1. The relatively uncommon HIV-2 type is concentrated in West Africa and is rarely found elsewhere. Infection with HIV occurs by transfer of blood, semen, and breast milk. The identification of HIV as the causative agent of AIDS catalyzed efforts to develop antiviral agents. The licenced anti-HIV drugs fall into some categories: reverse transcriptase inhibitors (NRTIs and NNRTIs), integrase inhibitors, protease inhibitors (PIs), fusion inhibitors (FIs), and coreceptor inhibitors. The advent of highly active antiretroviral therapy (HAART) as the standard of care for the treatment of HIV infection was seminal in reducing the morbidity and mortality associated with HIV infection and progression to AIDS. Combination antiretroviral therapy dramatically suppresses HIV replication and reduces the plasma HIV-1 viral load, resulting in significant reconstitution of the immune system.",Infectious disease,Elvitegravir
H00361,D00488,Malaria,"Malaria, the most common parasitic disease in the world, is caused by Plasmodium parasites that are transmitted by female Anopheline mosquitoes. Plasmodium infections result in a spectrum of clinical effects, including asymptomatic parasitemia, severe malaria, and death. Most severe cases occur in sub-Saharan Africa. In severe malaria, complications such as anemia, respiratory distress, renal failure, and cerebral malaria are observed in addition to cyclical fevers.",Infectious disease,Pyrimethamine
H00325,D00850,Brucellosis,"Brucellosis is a zoonotic disease of worldwide distribution that mainly affects persons working with domestic animals. Although many countries have eradicated Brucella abortus from cattle, Brucella melitensis remains a major cause of infection in cattle and human in Latin America, the Middle East, Spain, parts of Africa, and western Asia. Consumption of contaminated foods is the sources of infection. The clinical presentation can vary from asymptomatic infection to a fever, night sweats, and joint manifestations.",Infectious disease,Minocycline hydrochloride
H00361,D02126,Malaria,"Malaria, the most common parasitic disease in the world, is caused by Plasmodium parasites that are transmitted by female Anopheline mosquitoes. Plasmodium infections result in a spectrum of clinical effects, including asymptomatic parasitemia, severe malaria, and death. Most severe cases occur in sub-Saharan Africa. In severe malaria, complications such as anemia, respiratory distress, renal failure, and cerebral malaria are observed in addition to cyclical fevers.",Infectious disease,Primaquine phosphate
H01646,D00563,Major depressive disorder,"Major depressive disorder (MDD) is the most common psychiatric disorder mainly characterized by depressed mood, loss of interest, feelings of worthlessness, and a high risk of suicide. Accumulated evidence suggests that both environmental and genetic factors are involved in the etiology of MDD although the pathogenesis of MDD remains unknown. Mutations in genes involved in brain serotonin synthesis, have been identified in patients. Brain serotonin deficiency has been hypothesized to play a role in a wide range of psychiatric diseases, including MDD. Several efficacious treatments for MDD are available, including different forms of psychotherapy and antidepressant medication. Recently, selective reuptake inhibitors (SSRIs, SNRIs,) have become the first-line antidepressant drug treatment of depression and replaced tricyclic antidepressants (TCA) and monoamine oxidase inhibitors (MAOI) due to fewer side-effects and ease of use.",Mental and behavioural disorder,Mirtazapine
H01176,D00240,Uncomplicated urinary tract infection,"Staphylococci are widespread as commensals of humans and animals where they colonize the skin or mucous membranes. Staphylococcus saprophyticus is a coagulase-negative Staphylococcus, gram-positive uropathogen and frequently isolated from young female outpatients presenting with uncomplicated urinary tract infections. S. saprophyticus causes uncomplicated urinary tract infection (UTI) but no severe bacterial infectious disease as caused by S. aureus. The urease of S. saprophyticus is known to be a virulent factor for the persistent infection in the urinary tract. All of the virulence factors of S. aureus, such as coagulase, hemolysins, enterotoxins, extracellular matrixbinding proteins, and exoenzymes, are absent in the S. saprophyticus genome. Besides S. saprophyticus is a leading gram-positive uropathogen of uncomplicated UTI, a restricted group of gram-negative bacteria, including Escherichia coli, Proteus mirabilis, and Klebsiella spp. is often observed to cause uncomplicated UTI.",Infectious disease,Aztreonam
